Code;Urun(tr);Urun (en);Adet;Retail;Wholesale
13-1-312;Sallantili Uzun Yildiz Kolye Beyaz Pir;Long Star Necklace White Dia;2;;
14-1-337;Wb Beyaz Pirlanta Yildiz Kolye;White Dia Star Necklace;5;;
14-2-397;Wb Beyaz Pirlanta Yildiz Zincir Bilezik;White Dia Star Bracelet;4;;
14-3-176;Pave Yildiz Top Top Sabit Kupe Tek Beyaz Pir;Star Stud White - Sold As Single;7;;
12-1-133;Suyolu Kolye En Kisa Beyaz Pir Bidik;Lumiere Diamond Bar Necklace - Small;5;;
12-1-134;Suyolu Kolye En Kisa Konyak Pir Bidik;Lumiere Diamond Bar Necklace - Small;9;;
12-1-128;Cubuk Kisa Kolye Konyak Pirlanta;Lumiere Diamond Stick Necklace;4;;
13-1-247;5 Tektas Kolye;Toptop 5 Solitaire Necklace;5;;
11-1-063;Tuy Kolye Buyuk Boy;Medallion Feather Necklace Big Size;5;;
11-1-076;Yildiz Telli Kolye Kucuk Boy;Medallion Small Wire Star Necklace;14;;
12-2-240;Safir Goz Bilezik;Evil Eye Bracelet;4;;
12-3-039;Safir Goz Kupe (Tek);Evil Eye Sapphire Studs (Single);1;;
12-1-045;Bidik Tasli Tek Kanat Kolye;Bidik White Dia Wing Necklace;85;;
12-1-006;Bidik Tasli Yuvarlak Kolye;Bidik White Dia Disc Necklace;5;;
12-1-008;Bidik Tasli Ay Kolye;Bidik White Dia Moon Necklace;4;;
12-3-009;Bidik Yuvarlak Tasli Kupe Çift;Bidik White Dia Disc Studs (Pair);1;;
14-3-321;5 Tasli Cubuk Sabit Kupe Siyah Pir (Tek);5 Diamond Stick Stud - Black Dia (Single);14;;
14-3-320;5 Tasli Cubuk Sabit Kupe Beyaz Pir (Tek);5 Diamond Stick Stud - White Dia (Single);54;;
14-3-322;10 Tasli Cubuk Beyaz Pir Zincirli Kupe (Tek);Stick Stud With Chain White Dia - Single;12;;
14-3-338;10 Tasli Cubuk Siyah Pir Zincirli Kupe (Tek);Stick Stud With Chain Black Dia - Single;1;;
14-3-338s;10 Tasli Cubuk Siyah Pir Zincirli Kupe (Tek);Stick Stud With Chain Black Dia - Single;1;;
